Frame,t_ms,Az_deg,El_deg,R_m,V_m_s
182,927988,16.470,2.770,1431.6,12.00
183,928152,16.470,2.750,1433.5,12.00
184,928316,16.480,2.720,1435.3,12.00
185,928480,16.480,2.690,1437.2,12.00
186,928644,16.490,2.670,1439.0,12.00
187,928808,16.490,2.640,1440.9,12.00
188,928972,16.500,2.610,1442.7,12.00
189,929136,16.500,2.590,1444.6,12.00
190,929300,16.510,2.560,1446.4,12.00
191,929464,16.510,2.530,1448.3,12.00
192,929628,16.520,2.510,1450.1,12.00
193,929792,16.520,2.480,1452.0,12.00
194,929956,16.530,2.450,1453.9,12.00
195,930120,16.530,2.430,1455.7,12.00
196,930284,16.540,2.400,1457.6,12.00
197,930448,16.540,2.380,1459.4,12.00
198,930612,16.550,2.350,1461.3,12.00
199,930776,16.550,2.320,1463.1,12.00
200,930940,16.560,2.300,1465.0,12.00
201,931104,16.560,2.270,1466.8,12.00
202,931268,16.570,2.250,1468.7,12.00
203,931432,16.570,2.220,1470.5,12.00
204,931596,16.580,2.200,1472.4,12.00
205,931760,16.580,2.170,1474.2,12.00
206,931924,16.590,2.150,1476.1,12.00
207,932088,16.590,2.120,1478.0,12.00
208,932252,16.030,2.480,1484.7,12.60
209,932416,15.970,2.510,1486.0,12.40
210,932580,15.960,2.500,1487.9,12.40
211,932744,15.940,2.490,1489.9,12.40
212,932908,15.930,2.470,1491.9,12.40
213,933072,15.920,2.460,1493.9,12.40
214,933236,15.910,2.450,1495.9,12.40
215,933400,15.900,2.430,1497.9,12.40
216,933564,15.880,2.420,1499.8,12.40
217,933728,15.870,2.410,1501.8,12.40
218,933892,15.860,2.400,1503.8,12.40
219,934056,15.850,2.380,1505.8,12.40
220,934220,15.840,2.370,1507.8,12.40
221,934384,15.820,2.360,1509.8,12.40
222,934548,15.810,2.340,1511.8,12.40
223,934712,15.800,2.330,1513.7,12.40
224,934876,15.790,2.320,1515.7,12.40
225,935040,16.050,2.610,1514.8,11.30
226,935204,16.050,2.610,1516.6,11.30
227,935368,16.050,2.610,1518.5,11.30
228,935532,16.050,2.610,1520.3,11.30
229,935696,16.050,2.600,1522.2,11.30
230,935860,16.050,2.600,1524.0,11.30
231,936024,16.040,2.600,1525.9,11.30
232,936188,16.040,2.600,1527.7,11.30
233,936352,16.040,2.600,1529.6,11.30
234,936516,16.040,2.600,1531.4,11.30
235,936680,16.040,2.600,1533.2,11.30
236,936844,16.040,2.590,1535.1,11.30
237,937008,16.030,2.590,1536.9,11.30
238,937172,16.030,2.590,1538.8,11.30
239,937336,16.030,2.590,1540.6,11.30
240,937500,16.030,2.590,1542.5,11.30
241,937664,16.030,2.590,1544.3,11.30
242,937828,16.030,2.590,1546.2,11.30
243,937992,16.020,2.580,1548.0,11.30
244,938156,16.020,2.580,1549.9,11.30
245,938320,16.020,2.580,1551.7,11.30
246,938484,16.020,2.580,1553.5,11.30
247,938648,16.020,2.580,1555.4,11.30
248,938812,16.020,2.580,1557.2,11.30
249,938976,16.020,2.580,1559.1,11.30
250,939140,16.010,2.570,1560.9,11.30
251,939304,16.010,2.570,1562.8,11.30
252,939468,16.010,2.570,1564.6,11.30
253,939632,16.010,2.570,1566.5,11.30
254,939796,16.010,2.570,1568.3,11.30
255,939960,16.010,2.570,1570.2,11.30
256,940124,16.000,2.570,1572.0,11.30
257,940288,16.000,2.560,1573.9,11.30
258,940452,16.000,2.560,1575.7,11.30
259,940616,16.000,2.560,1577.5,11.30
260,940780,16.000,2.560,1579.4,11.30
261,940944,16.000,2.560,1581.2,11.30
262,941108,16.000,2.560,1583.1,11.30
263,941272,15.990,2.560,1584.9,11.30
264,941436,15.990,2.550,1586.8,11.30
265,941600,15.990,2.550,1588.6,11.30
266,941764,15.990,2.550,1590.5,11.30
267,941928,15.990,2.550,1592.3,11.30
268,942092,15.990,2.550,1594.2,11.30
269,942256,15.990,2.550,1596.0,11.30
270,942420,15.980,2.550,1597.9,11.30
309,948816,10.990,26.790,4280.4,93.30
310,948980,10.850,26.760,4292.2,93.20
311,949144,10.720,26.720,4303.9,93.20
312,949308,10.580,26.680,4315.7,93.10
313,949472,10.440,26.640,4327.5,93.00
314,949636,10.300,26.600,4339.3,93.00
315,949800,10.170,26.560,4351.1,93.00
316,949964,10.030,26.520,4362.9,92.90
317,950128,9.900,26.480,4374.7,92.90
318,950292,9.770,26.440,4386.5,92.90
319,950456,9.630,26.400,4398.3,92.90
320,950620,9.500,26.360,4410.2,92.90
321,950784,9.370,26.320,4422.1,92.80
