序号,波位号,北斗时间戳,时间戳(ms),方位(度),距离(m),俯仰(度),高度(m),径向速度(m/s),信噪比,RCS,宽窄脉冲(0宽1窄),俯仰波束,本波位目标数,是否有效点
1,15,898140,898140,79.2044,2197.68,-0.5161,-19.80,1.0921,29,6.872140e-01,1,0,4,1
2,15,898140,898140,80.3064,5014.91,3.0771,269.20,-8.1911,22,2.388140e+01,0,0,4,1
3,15,898140,898140,80.3033,5008.22,3.4615,302.39,2.1843,23,2.472090e+01,0,1,4,1
4,15,898140,898140,83.0163,2060.38,12.4670,444.79,-39.5904,12,8.614240e-03,1,2,4,1
5,16,898304,898304,88.5136,380.64,0.1867,1.24,-24.0273,17,2.799690e-06,1,0,3,1
6,16,898304,898304,90.4438,3307.96,-0.0933,-5.39,-1.3652,34,6.349350e+01,0,0,3,1
7,16,898304,898304,88.8821,1056.41,9.5761,175.74,49.9658,14,1.372750e-04,1,2,3,1
8,0,898468,898468,358.5860,8824.83,1.4609,225.00,9.0102,17,1.000000e+02,0,0,2,1
9,0,898468,898468,4.1366,2228.42,12.2340,472.21,5.7338,14,2.522130e-02,1,2,2,1
10,1,898632,898632,8.2259,2753.72,5.2808,253.44,-39.8634,14,7.418260e-02,0,1,1,1
11,2,898796,898796,16.8225,1094.84,5.1668,98.60,-11.7406,34,1.677120e-02,1,1,1,1
12,3,898960,898960,18.5065,960.22,8.5601,142.93,5.4607,17,1.184440e-04,1,1,2,1
13,3,898960,898960,17.3911,1095.84,4.7861,91.43,-11.7406,34,1.518020e-02,1,1,2,1
14,4,899124,899124,27.8017,1339.14,-1.6642,-38.89,-0.8191,26,2.334540e-01,1,0,16,1
15,4,899124,899124,25.9894,1458.22,-0.6378,-16.23,-3.8225,20,3.519300e-01,0,0,16,1
16,4,899124,899124,26.8340,2490.09,-0.5006,-21.76,-20.2047,12,5.725480e-01,0,0,16,1
17,4,899124,899124,25.8696,3834.74,0.3904,26.13,-31.6723,8,6.755020e+00,0,0,16,1
18,4,899124,899124,24.6316,3931.20,0.0266,1.82,-0.5461,59,1.000000e+02,0,0,16,1
19,4,899124,899124,26.7274,4050.93,0.4220,29.83,-64.1637,9,1.518840e+01,0,0,16,1
20,4,899124,899124,21.4961,5126.30,0.3228,28.88,8.1911,13,3.587780e+01,0,0,16,1
21,4,899124,899124,23.8918,5879.30,0.0252,2.58,1.9113,28,1.000000e+02,0,0,16,1
22,4,899124,899124,23.7632,5895.09,-0.0790,-8.13,-0.5461,59,1.000000e+02,0,0,16,1
23,4,899124,899124,23.8411,7623.06,0.1919,25.53,5.7338,13,1.000000e+02,0,0,16,1
24,4,899124,899124,25.2979,8006.70,0.1471,20.56,12.2867,14,1.000000e+02,0,0,16,1
25,4,899124,899124,28.8749,9544.57,0.4761,79.30,6.8259,17,1.000000e+02,0,0,16,1
26,4,899124,899124,27.9286,9709.18,0.4324,73.27,5.1877,21,1.000000e+02,0,0,16,1
27,4,899124,899124,24.1006,11439.30,1.0426,208.15,0.5461,53,1.000000e+02,0,0,16,1
28,4,899124,899124,25.7361,2633.55,7.8489,359.64,4.3686,21,2.637680e-01,0,1,16,1
29,4,899124,899124,28.4819,2705.28,5.7988,273.33,-0.8191,18,2.211910e-01,0,1,16,1
30,5,899288,899288,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
31,6,899452,899452,35.8391,11490.60,-0.2584,-51.82,-3.5495,28,1.000000e+02,0,0,1,1
32,7,899616,899616,38.8362,1008.24,-1.6965,-29.85,-0.8191,37,2.188280e-02,1,0,10,1
33,7,899616,899616,37.3866,1504.15,-0.6002,-15.76,-51.8770,5,4.883880e-03,1,0,10,1
34,7,899616,899616,41.7803,1673.05,-1.6552,-48.32,-0.8191,43,4.543450e+00,1,0,10,1
35,7,899616,899616,39.9772,1773.27,-1.1733,-36.31,1.3652,22,7.967740e-01,1,0,10,1
36,7,899616,899616,39.9123,2538.67,-0.2581,-11.43,-0.5461,59,1.000000e+02,0,0,10,1
37,7,899616,899616,36.4333,9112.69,0.0120,1.91,-0.5461,58,1.000000e+02,0,0,10,1
38,7,899616,899616,39.4536,9497.80,0.4016,66.57,-1.0921,24,1.000000e+02,0,0,10,1
39,7,899616,899616,37.8923,10222.50,-0.1373,-24.50,0.5461,54,1.000000e+02,0,0,10,1
40,7,899616,899616,38.9787,10718.00,0.0959,17.94,0.5461,54,1.000000e+02,0,0,10,1
41,7,899616,899616,35.9283,11490.50,0.7359,147.57,-3.5495,19,1.000000e+02,0,0,10,1
42,8,899780,899780,44.8359,2057.57,-1.0477,-37.62,0.8191,46,2.687030e+01,0,0,2,1
43,8,899780,899780,46.1723,5629.79,23.6311,2256.68,-122.1650,14,6.549780e+00,0,4,2,1
44,9,899944,899944,50.4895,1335.38,-1.4675,-34.20,-1.0921,31,2.624600e-02,1,0,5,1
45,9,899944,899944,48.7843,1987.04,5.8943,204.06,-9.0102,13,8.246410e-03,0,1,5,1
46,9,899944,899944,53.5851,10147.40,8.1405,1436.89,-27.0307,19,1.000000e+02,0,1,5,1
47,9,899944,899944,50.0795,1818.91,20.4417,635.26,-47.5084,22,9.830660e-02,0,3,5,1
48,9,899944,899944,50.1673,5442.45,20.8319,1935.49,-135.7380,25,1.000000e+02,0,4,5,1
49,10,900108,900108,54.2124,3451.73,0.7548,45.47,6.0068,17,9.383260e-01,0,0,2,1
50,10,900108,900108,54.3534,1125.07,8.4459,165.25,-6.0068,18,3.837560e-04,1,1,2,1
51,11,900272,900272,63.9414,3978.16,9.1718,634.10,-5.4607,16,2.283090e+00,0,1,1,1
52,12,900436,900436,64.3432,1915.46,5.2788,176.23,-3.5495,17,6.824700e-03,1,1,2,1
53,12,900436,900436,61.8477,3955.71,7.7420,532.88,-2.4573,22,7.895910e+00,0,1,2,1
54,13,900600,900600,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
55,14,900764,900764,73.6074,1271.18,-0.9957,-22.09,1.0921,47,1.899820e+00,1,0,2,1
56,14,900764,900764,77.3715,2585.57,-0.4313,-19.46,-1.9113,31,5.004480e+00,0,0,2,1
57,15,900928,900928,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
58,16,901092,901092,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
59,0,901256,901256,358.6990,8802.44,-0.7847,-120.55,9.0102,18,8.338920e+01,0,0,1,1
60,1,901420,901420,9.4003,4242.46,13.0392,957.17,17.7474,15,2.189980e+00,0,2,1,1
61,2,901584,901584,16.5781,1124.10,4.6226,90.59,-11.7406,32,1.504000e-02,1,1,1,1
62,3,901748,901748,17.2821,1124.83,4.6089,90.38,-11.7406,34,1.086850e-02,1,1,1,1
63,4,901912,901912,27.6337,1322.51,-1.7851,-41.20,-0.8191,22,4.699540e-01,1,0,16,1
64,4,901912,901912,23.1450,1391.17,-1.1476,-27.86,41.7747,7,7.407840e-03,1,0,16,1
65,4,901912,901912,25.4832,2009.55,-0.8092,-28.38,0.8191,28,5.660140e-01,1,0,16,1
66,4,901912,901912,21.5307,2181.06,0.7773,29.59,-33.5836,11,2.220250e-02,1,0,16,1
67,4,901912,901912,26.1879,1457.91,-0.6242,-15.88,1.6382,23,9.143520e-01,0,0,16,1
68,4,901912,901912,26.3973,1505.70,-0.2714,-7.13,-38.7713,9,2.850490e-02,0,0,16,1
69,4,901912,901912,24.6186,3931.14,0.0041,0.28,0.5461,59,1.000000e+02,0,0,16,1
70,4,901912,901912,22.2781,5127.95,-0.1460,-13.07,-7.0990,17,6.577090e+01,0,0,16,1
71,4,901912,901912,20.9251,5251.57,0.3152,28.89,-41.7747,9,3.563930e+01,0,0,16,1
72,4,901912,901912,23.8123,5879.10,-0.1037,-10.64,1.9113,27,1.000000e+02,0,0,16,1
73,4,901912,901912,23.7315,5894.90,-0.0723,-7.44,-0.5461,58,1.000000e+02,0,0,16,1
74,4,901912,901912,23.4045,5944.18,0.1209,12.54,0.8191,20,1.000000e+02,0,0,16,1
75,4,901912,901912,23.3657,7623.98,0.2137,28.43,0.8191,27,1.000000e+02,0,0,16,1
76,4,901912,901912,25.0178,8006.73,0.3091,43.20,6.2798,17,1.000000e+02,0,0,16,1
77,4,901912,901912,27.8613,9709.31,-0.0256,-4.34,1.9113,26,1.000000e+02,0,0,16,1
78,4,901912,901912,24.1364,11439.20,1.0434,208.31,-0.5461,50,1.000000e+02,0,0,16,1
79,5,902076,902076,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
80,6,902240,902240,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
81,7,902404,902404,36.8361,1432.97,-1.3656,-34.15,-3.5495,22,5.641890e-02,1,0,18,1
82,7,902404,902404,37.3993,1506.34,-1.8155,-47.72,69.8975,3,3.933480e-03,1,0,18,1
83,7,902404,902404,41.6285,1671.74,-1.3749,-40.11,0.8191,38,1.247590e+00,1,0,18,1
84,7,902404,902404,40.1362,1728.81,-1.4634,-44.15,1.3652,32,1.115700e+00,1,0,18,1
85,7,902404,902404,39.8468,1777.01,-1.6250,-50.39,58.7030,7,2.608110e-02,1,0,18,1
86,7,902404,902404,39.8867,2276.21,0.9372,37.23,61.4333,10,2.370980e-02,1,0,18,1
87,7,902404,902404,39.1298,2322.97,-0.8074,-32.73,1.3652,22,7.821780e-01,1,0,18,1
88,7,902404,902404,39.8383,1745.83,-1.1620,-35.40,5.7338,12,1.196840e-01,0,0,18,1
89,7,902404,902404,39.8997,2538.72,-0.2577,-11.42,-0.5461,60,1.000000e+02,0,0,18,1
90,7,902404,902404,40.9869,4747.83,0.4488,37.19,-3.8225,25,5.984340e+01,0,0,18,1
91,7,902404,902404,41.0846,5270.96,-0.0899,-8.27,0.8191,39,1.000000e+02,0,0,18,1
92,7,902404,902404,36.4206,9112.37,0.0265,4.21,-0.5461,59,1.000000e+02,0,0,18,1
93,7,902404,902404,39.3866,9499.36,0.4002,66.36,1.0921,25,1.000000e+02,0,0,18,1
94,7,902404,902404,37.8954,10221.50,-0.1448,-25.82,-0.5461,52,1.000000e+02,0,0,18,1
95,7,902404,902404,37.3038,10317.60,1.7615,317.15,-32.2184,10,5.120160e+01,0,0,18,1
96,7,902404,902404,38.9810,10717.80,0.0861,16.11,-0.5461,55,1.000000e+02,0,0,18,1
97,7,902404,902404,39.5347,6163.68,16.2261,1722.31,42.7576,13,8.941240e+00,0,3,18,1
98,7,902404,902404,40.6307,2354.39,38.3717,1461.51,11.5172,28,1.835120e+00,0,7,18,1
99,8,902568,902568,44.9188,4671.89,0.3693,30.11,4.3686,27,6.079980e+01,0,0,3,1
100,8,902568,902568,41.0460,4748.80,-0.1643,-13.61,-4.3686,20,1.058280e+01,0,0,3,1
101,8,902568,902568,46.7227,5199.56,2.0191,183.19,10.6484,18,9.659900e+00,0,0,3,1
102,9,902732,902732,52.8182,1393.55,0.2632,6.40,-9.2833,17,1.175530e-03,1,0,4,1
103,9,902732,902732,52.3220,10624.80,7.1994,1331.53,-27.8498,18,1.000000e+02,0,1,4,1
104,9,902732,902732,48.5192,1409.75,20.5463,494.77,-50.6757,21,9.266270e-03,1,3,4,1
105,9,902732,902732,49.0220,5009.49,21.6086,1844.82,-135.7380,21,1.000000e+02,0,4,4,1
106,10,902896,902896,54.9229,1072.88,-2.1900,-41.00,0.8191,48,2.410930e-01,1,0,5,1
107,10,902896,902896,56.0498,10646.50,6.7107,1244.11,-27.8498,17,1.000000e+02,0,0,5,1
108,10,902896,902896,55.3175,1145.02,7.3510,146.50,-7.0990,14,2.710120e-04,1,1,5,1
109,10,902896,902896,55.6968,3713.43,7.0359,454.87,-2.4573,17,2.390940e+00,0,1,5,1
110,10,902896,902896,53.7714,10650.90,6.7668,1254.99,-27.8498,28,1.000000e+02,0,1,5,1
111,11,903060,903060,58.6043,358.93,-0.3417,-2.14,-46.9624,9,2.916600e-07,1,0,3,1
112,11,903060,903060,60.8652,3618.01,1.1018,69.57,-2.4573,24,6.835960e+00,0,0,3,1
113,11,903060,903060,61.1006,3952.89,1.7372,119.83,5.7338,24,2.015420e+01,0,0,3,1
114,12,903224,903224,64.7229,2897.58,0.9303,47.05,14.7440,26,1.398680e+00,0,0,1,1
115,13,903388,903388,71.6117,12424.50,2.2121,479.58,-13.6519,13,1.000000e+02,0,0,2,1
116,13,903388,903388,69.7956,1729.64,8.6671,260.64,2.1843,14,2.856770e-03,1,1,2,1
117,14,903552,903552,77.9445,1894.91,-1.1215,-37.09,4.3686,17,1.187320e-02,1,0,1,1
118,15,903716,903716,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
119,16,903880,903880,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
120,0,904044,904044,358.1910,8775.79,0.5476,83.88,9.0102,19,1.000000e+02,0,0,1,1
121,1,904208,904208,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
122,2,904372,904372,17.3900,1153.14,4.7655,95.80,-11.1945,22,1.276980e-03,1,1,1,1
123,3,904536,904536,18.3887,1154.56,3.7986,76.49,-11.1945,22,9.841390e-04,1,1,1,1
124,4,904700,904700,28.0507,1314.73,-1.2231,-28.06,-4.6416,13,8.196740e-02,1,0,17,1
125,4,904700,904700,26.2006,1443.88,-0.8198,-20.66,-6.2798,15,5.378690e-01,1,0,17,1
126,4,904700,904700,26.3081,1457.94,-0.6365,-16.20,-0.5461,58,1.000000e+02,0,0,17,1
127,4,904700,904700,27.0407,2465.61,-0.5864,-25.23,-16.9283,11,5.826690e-01,0,0,17,1
128,4,904700,904700,26.7489,2513.28,-0.5492,-24.09,-23.4812,16,1.875900e+00,0,0,17,1
129,4,904700,904700,27.2347,2657.67,-0.0087,-0.40,-45.3242,9,3.118850e-01,0,0,17,1
130,4,904700,904700,24.6060,3931.16,0.0084,0.58,-0.5461,58,1.000000e+02,0,0,17,1
131,4,904700,904700,24.7994,4049.42,-0.0726,-5.13,-21.0239,11,2.024090e+01,0,0,17,1
132,4,904700,904700,25.7564,4549.44,-0.5635,-44.74,-48.0545,8,3.076690e+00,0,0,17,1
133,4,904700,904700,22.6607,5111.67,0.4333,38.66,5.7338,24,1.000000e+02,0,0,17,1
134,4,904700,904700,23.6625,5894.96,-0.0700,-7.20,-0.5461,57,1.000000e+02,0,0,17,1
135,4,904700,904700,24.0701,5943.10,0.1859,19.28,0.8191,15,1.000000e+02,0,0,17,1
136,4,904700,904700,24.8969,6886.76,0.1050,12.62,0.8191,28,1.000000e+02,0,0,17,1
137,4,904700,904700,24.1252,7602.85,-0.1479,-19.63,0.8191,23,1.000000e+02,0,0,17,1
138,4,904700,904700,25.0061,8006.11,0.2535,35.42,3.2764,21,1.000000e+02,0,0,17,1
139,4,904700,904700,28.1226,9710.26,0.1504,25.49,-1.6382,24,1.000000e+02,0,0,17,1
140,4,904700,904700,24.0241,11438.70,1.0558,210.78,-0.5461,53,1.000000e+02,0,0,17,1
141,5,904864,904864,28.9074,2729.33,5.6944,270.81,-3.2764,21,4.156220e-01,0,1,1,1
142,6,905028,905028,32.7127,7148.05,0.4882,60.91,8.7372,15,3.588340e+01,0,0,1,1
143,7,905192,905192,36.8549,1433.12,-1.3921,-34.82,-3.5495,20,4.482440e-02,1,0,18,1
144,7,905192,905192,37.6214,1507.73,-0.0292,-0.77,-52.1501,8,1.060630e-02,1,0,18,1
145,7,905192,905192,40.9654,1720.47,-1.5789,-47.41,1.3652,27,3.596400e-01,1,0,18,1
146,7,905192,905192,39.6712,1772.91,-1.2381,-38.31,-29.4880,7,2.112410e-02,1,0,18,1
147,7,905192,905192,38.5496,1991.44,0.2574,8.95,-43.1399,5,6.764660e-03,1,0,18,1
148,7,905192,905192,42.3354,2272.43,0.0439,1.74,58.1569,6,9.338580e-03,1,0,18,1
149,7,905192,905192,37.7600,2302.23,-0.8163,-32.80,58.7030,9,2.893720e-02,1,0,18,1
150,7,905192,905192,42.6701,2326.91,-0.7480,-30.38,0.8191,33,8.072080e+00,1,0,18,1
151,7,905192,905192,39.8064,2441.72,-0.9154,-39.01,-49.6927,8,1.873270e+00,0,0,18,1
152,7,905192,905192,39.8292,2538.71,-0.2588,-11.47,0.5461,59,1.000000e+02,0,0,18,1
153,7,905192,905192,41.2156,4699.37,0.0737,6.04,5.7338,19,1.478620e+01,0,0,18,1
154,7,905192,905192,41.1483,4792.96,0.6418,53.69,-8.4642,18,1.160700e+01,0,0,18,1
155,7,905192,905192,41.2617,5228.79,-0.1319,-12.04,-0.8191,34,1.000000e+02,0,0,18,1
156,7,905192,905192,42.2617,7094.18,2.1831,270.24,3.8225,13,1.613550e+01,0,0,18,1
157,7,905192,905192,36.4182,9112.54,0.0191,3.04,-0.5461,59,1.000000e+02,0,0,18,1
158,7,905192,905192,39.5193,9500.71,0.1456,24.15,-0.8191,22,1.000000e+02,0,0,18,1
159,7,905192,905192,37.8801,10221.40,-0.1353,-24.13,-0.5461,53,1.000000e+02,0,0,18,1
160,7,905192,905192,38.8813,10718.10,0.0799,14.95,-0.5461,55,1.000000e+02,0,0,18,1
161,8,905356,905356,43.1722,3376.30,4.8292,284.24,4.3686,21,2.807850e+00,0,0,4,1
162,8,905356,905356,45.5248,4673.98,0.7050,57.51,-4.6416,27,4.953600e+01,0,0,4,1
163,8,905356,905356,44.0103,2178.38,12.4135,468.28,7.3720,16,2.255020e-02,0,2,4,1
164,8,905356,905356,47.4682,4604.38,21.9713,1722.69,22.6231,18,3.344710e+01,0,4,4,1
165,9,905520,905520,50.6391,3617.49,6.7040,422.31,3.2764,19,2.832920e+00,0,1,2,1
166,9,905520,905520,48.1900,4594.38,22.0462,1724.52,-140.2630,21,5.413370e+01,0,4,2,1
167,10,905684,905684,54.1391,1418.98,1.2797,31.69,-1.3652,21,5.696360e-03,1,0,6,1
168,10,905684,905684,54.1965,1169.94,3.9039,79.65,-8.7372,15,2.731220e-04,1,1,6,1
169,10,905684,905684,56.9260,4551.17,7.8266,619.76,0.8191,19,9.391960e+00,0,1,6,1
170,10,905684,905684,53.4055,11130.20,6.2080,1203.60,-28.6689,19,1.000000e+02,0,1,6,1
171,10,905684,905684,55.3849,1482.11,11.9360,306.53,55.1535,13,2.104370e-03,0,2,6,1
172,10,905684,905684,56.6189,1265.95,18.9019,410.10,23.7542,12,1.301070e-03,0,3,6,1
173,11,905848,905848,61.1517,3929.35,2.0452,140.23,6.0068,26,3.913070e+01,0,0,2,1
174,11,905848,905848,60.6811,5059.77,4.5659,402.79,9.0102,19,1.308970e+01,0,1,2,1
175,12,906012,906012,65.8945,2850.48,0.7048,35.06,14.4710,17,5.199050e-01,0,0,3,1
176,12,906012,906012,66.2570,3690.60,3.2434,208.81,46.4163,14,8.856490e-01,0,0,3,1
177,12,906012,906012,64.3965,3496.24,6.0098,366.05,-1.6382,23,3.024340e+00,0,1,3,1
178,13,906176,906176,70.9533,2827.25,0.2827,13.95,7.0990,25,1.807000e+00,0,0,1,1
179,14,906340,906340,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
180,15,906504,906504,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
181,16,906668,906668,86.2780,2728.44,2.1106,100.48,-5.1877,24,1.015200e+00,0,0,2,1
182,16,906668,906668,87.9372,3979.31,4.2012,291.52,-5.4607,21,6.306560e+00,0,1,2,1
183,0,906832,906832,357.1840,8750.54,1.2466,190.38,9.0102,18,1.000000e+02,0,0,1,1
184,1,906996,906996,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
185,2,907160,907160,17.8621,1191.29,4.5916,95.37,-11.4676,21,7.831660e-04,1,1,1,1
186,3,907324,907324,17.8602,1193.26,4.3319,90.13,-11.4676,20,1.133570e-03,1,1,1,1
187,4,907488,907488,27.0488,1340.19,-1.3166,-30.79,7.3720,18,4.384460e-02,1,0,17,1
188,4,907488,907488,27.1529,1988.93,-1.0395,-36.08,0.8191,34,2.478650e+00,1,0,17,1
189,4,907488,907488,26.3063,1457.77,-0.6025,-15.33,-1.9113,24,1.043000e+00,0,0,17,1
190,4,907488,907488,26.5044,1529.80,-0.5395,-14.40,-15.0170,7,1.356500e-02,0,0,17,1
191,4,907488,907488,26.2828,2512.89,-0.5949,-26.09,-24.3003,16,1.398820e+00,0,0,17,1
192,4,907488,907488,26.2464,2537.61,-0.6990,-30.96,-23.2081,12,5.646700e-01,0,0,17,1
193,4,907488,907488,25.5912,3809.36,0.7181,47.74,57.0647,9,8.378780e+00,0,0,17,1
194,4,907488,907488,24.6111,3931.17,0.0143,0.98,-0.5461,59,1.000000e+02,0,0,17,1
195,4,907488,907488,21.0229,5083.91,0.0969,8.60,0.8191,24,1.000000e+02,0,0,17,1
196,4,907488,907488,22.5227,5128.09,-0.0966,-8.64,4.6416,16,6.498610e+01,0,0,17,1
197,4,907488,907488,20.8296,5249.93,0.2544,23.31,-28.1228,11,6.000990e+01,0,0,17,1
198,4,907488,907488,23.6961,5894.91,-0.0740,-7.61,-0.5461,58,1.000000e+02,0,0,17,1
199,4,907488,907488,24.5597,5942.06,-0.2840,-29.45,0.8191,20,1.000000e+02,0,0,17,1
200,4,907488,907488,22.8868,7627.34,0.2525,33.61,7.0990,14,1.000000e+02,0,0,17,1
201,4,907488,907488,25.0575,8005.57,0.3354,46.87,-3.0034,25,1.000000e+02,0,0,17,1
202,4,907488,907488,28.0813,9710.39,-0.0039,-0.66,1.9113,26,1.000000e+02,0,0,17,1
203,4,907488,907488,24.0298,11438.80,1.0836,216.32,-0.5461,52,1.000000e+02,0,0,17,1
204,5,907652,907652,28.7040,2682.80,5.4840,256.39,-6.0068,19,1.712070e-01,0,1,1,1
205,6,907816,907816,36.3161,11463.60,0.0508,10.15,4.3686,30,1.000000e+02,0,0,1,1
206,7,907980,907980,36.8429,1486.36,-0.7457,-19.35,26.2116,9,1.141130e-02,1,0,13,1
207,7,907980,907980,40.3675,1729.98,-1.8506,-55.87,4.6416,22,1.048800e-01,1,0,13,1
208,7,907980,907980,37.4466,2278.65,-0.2247,-8.94,-54.0613,7,1.379270e-02,1,0,13,1
209,7,907980,907980,38.8169,2417.87,-0.1936,-8.17,3.5495,15,5.621400e+00,0,0,13,1
210,7,907980,907980,39.8858,2538.75,-0.2513,-11.13,0.5461,58,1.000000e+02,0,0,13,1
211,7,907980,907980,39.9965,2658.45,0.3892,18.06,13.9249,7,2.089050e+00,0,0,13,1
212,7,907980,907980,39.5995,2753.31,-0.3331,-16.01,37.1330,10,1.646390e+00,0,0,13,1
213,7,907980,907980,40.7301,4792.27,0.1990,16.64,-5.1877,22,2.351240e+01,0,0,13,1
214,7,907980,907980,40.5397,5638.64,3.9272,386.19,4.6416,16,1.283900e+01,0,0,13,1
215,7,907980,907980,36.4464,9112.64,0.0146,2.32,-0.5461,59,1.000000e+02,0,0,13,1
216,7,907980,907980,39.3641,9499.29,0.1688,27.99,-1.0921,24,1.000000e+02,0,0,13,1
217,7,907980,907980,37.9044,10222.30,-0.1340,-23.90,-0.5461,54,1.000000e+02,0,0,13,1
218,7,907980,907980,38.9201,10718.70,0.0940,17.58,-0.5461,54,1.000000e+02,0,0,13,1
219,8,908144,908144,44.1173,3353.81,5.5775,325.96,0.8191,19,1.194570e+00,0,1,2,1
220,8,908144,908144,46.4978,4194.45,22.7740,1623.66,140.2630,21,7.912760e+01,0,4,2,1
221,9,908308,908308,47.2004,4170.82,23.1751,1641.39,140.2630,23,4.209750e+01,0,4,1,1
222,10,908472,908472,52.6427,1123.58,-2.0113,-39.43,-0.8191,39,1.871190e-01,1,0,7,1
223,10,908472,908472,55.8336,2633.19,0.0628,2.89,-1.0921,42,7.207350e+01,0,0,7,1
224,10,908472,908472,55.8793,1193.02,7.1647,148.80,-8.4642,16,4.280590e-04,1,1,7,1
225,10,908472,908472,57.4691,4723.66,7.0085,576.37,-5.4607,15,3.486520e+00,0,1,7,1
226,10,908472,908472,56.1594,4770.08,7.9999,663.86,-4.6416,17,5.897430e+00,0,1,7,1
227,10,908472,908472,54.3124,11589.00,7.4119,1494.99,-29.4880,16,1.000000e+02,0,1,7,1
228,10,908472,908472,53.5088,2182.33,11.6496,440.67,2.1843,13,1.596440e-02,1,2,7,1
229,11,908636,908636,60.2086,4958.30,5.9323,512.46,3.2764,17,6.208530e+00,0,1,2,1
230,11,908636,908636,61.3330,5033.19,4.9446,433.83,6.5529,25,3.161810e+01,0,1,2,1
231,12,908800,908800,67.0932,2825.46,0.0298,1.47,10.1024,28,2.961140e+00,0,0,2,1
232,12,908800,908800,61.8070,3929.99,1.7299,118.63,-7.3720,20,7.647080e+00,0,0,2,1
233,13,908964,908964,74.6998,3546.12,0.4088,25.30,6.0068,18,2.089210e+00,0,0,2,1
234,13,908964,908964,70.6910,10746.00,6.3615,1190.67,64.9828,14,1.000000e+02,0,1,2,1
235,14,909128,909128,73.8999,1530.08,11.1567,296.06,18.8396,12,2.037850e-03,0,2,1,1
236,15,909292,909292,78.8045,2205.45,-0.6050,-23.29,-0.8191,39,6.846490e+00,1,0,1,1
237,16,909456,909456,89.3748,1841.24,-1.0749,-34.54,11.1945,18,1.411440e-02,1,0,1,1
238,0,909620,909620,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
239,1,909784,909784,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
240,2,909948,909948,17.2810,761.44,-2.0855,-27.71,0.8191,45,2.846430e-02,1,0,2,1
241,2,909948,909948,17.3474,1220.83,4.4149,93.98,-11.7406,22,1.508580e-03,1,1,2,1
242,3,910112,910112,16.8376,1221.50,3.7181,79.21,-11.7406,20,1.212130e-03,1,1,1,1
243,4,910276,910276,27.4098,1315.66,-0.8658,-19.88,0.8191,18,1.795990e-01,1,0,18,1
244,4,910276,910276,26.9456,1986.20,-1.1024,-38.22,-0.8191,34,2.564140e+00,1,0,18,1
245,4,910276,910276,26.9528,1386.06,-0.4622,-11.18,58.4299,6,6.429540e-03,0,0,18,1
246,4,910276,910276,26.3866,1457.48,-0.6643,-16.90,-1.9113,25,1.027880e+00,0,0,18,1
247,4,910276,910276,26.9240,2514.59,-0.6894,-30.26,-23.2081,13,7.265210e-01,0,0,18,1
248,4,910276,910276,26.4263,2562.08,-0.5956,-26.63,-41.5016,11,3.250130e-01,0,0,18,1
249,4,910276,910276,27.1907,2658.10,-1.6951,-78.63,-54.6074,11,2.435660e-01,0,0,18,1
250,4,910276,910276,24.6322,3931.13,-0.0038,-0.26,-0.5461,59,1.000000e+02,0,0,18,1
251,4,910276,910276,26.1339,4049.15,0.9914,70.06,8.1911,9,1.038770e+01,0,0,18,1
252,4,910276,910276,22.8457,5127.62,0.1736,15.54,0.8191,26,1.000000e+02,0,0,18,1
253,4,910276,910276,23.6987,5894.81,-0.0752,-7.73,-0.5461,59,1.000000e+02,0,0,18,1
254,4,910276,910276,23.3320,7622.25,-0.0555,-7.39,0.8191,25,1.000000e+02,0,0,18,1
255,4,910276,910276,25.1489,8005.62,0.4335,60.57,5.1877,21,1.000000e+02,0,0,18,1
256,4,910276,910276,26.8232,8949.83,1.2579,196.48,-0.8191,16,1.000000e+02,0,0,18,1
257,4,910276,910276,28.3773,9709.28,-0.0546,-9.25,-3.0034,24,1.000000e+02,0,0,18,1
258,4,910276,910276,24.1441,11438.80,1.0306,205.75,-0.5461,53,1.000000e+02,0,0,18,1
259,4,910276,910276,27.2047,2754.39,7.8387,375.66,-2.1843,18,1.797570e-01,0,1,18,1
260,4,910276,910276,24.0850,9352.19,4.5398,740.23,14.1979,14,4.502010e+01,0,1,18,1
261,5,910440,910440,32.0454,10268.60,8.3048,1483.20,5.7338,14,8.130120e+01,0,1,1,1
