CPI序号,波位号,时间戳(ms),帧间隔(ms),目标数,有效点迹数,宽脉冲数,窄脉冲数,最小距离(m),最大距离(m),最小速度(m/s),最大速度(m/s),正高度点数,负高度点数(地杂波)
1128,3,1082968,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1129,4,1083132,164,19,19,17,2,1318.2,11438.9,-58.16,54.61,7,12
1130,5,1083296,164,3,3,1,2,382.6,2609.9,-19.66,6.28,1,2
1131,6,1083460,164,2,2,1,1,1293.3,2488.8,-7.37,-0.82,1,1
1132,7,1083624,164,9,9,6,3,1052.2,10220.4,-19.11,1.37,2,7
1133,8,1083788,164,16,16,7,9,501.1,11227.1,-30.31,65.53,4,12
1134,9,1083952,164,5,5,2,3,646.8,12260.5,-8.19,22.12,4,1
1135,10,1084116,164,5,5,3,2,521.2,3688.8,-4.64,2.73,1,4
1136,11,1084280,164,6,6,4,2,2106.4,5053.1,-2.46,-0.55,4,2
1137,12,1084444,164,1,1,0,1,2039.8,2039.8,1.64,1.64,1,0
1138,13,1084608,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1139,14,1084772,164,5,5,3,2,776.5,3064.8,-1.09,63.34,2,3
1140,15,1084936,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1141,16,1085100,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1142,0,1085264,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1143,1,1085428,164,1,1,1,0,3186.7,3186.7,3.55,3.55,1,0
1144,2,1085592,164,1,1,1,0,2970.3,2970.3,-11.74,-11.74,1,0
1145,3,1085756,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1146,4,1085920,164,13,13,11,2,1223.1,11439.1,-52.15,25.94,4,9
1147,5,1086084,164,1,1,1,0,2441.2,2441.2,3.82,3.82,1,0
1148,6,1086248,164,1,1,1,0,2466.2,2466.2,1.64,1.64,1,0
1149,7,1086412,164,18,18,12,6,454.2,10717.6,-67.99,44.51,9,9
1150,8,1086576,164,14,14,7,7,520.2,10766.8,-58.16,62.53,5,9
1151,9,1086740,164,4,4,1,3,645.4,5318.0,-10.65,1.09,2,2
1152,10,1086904,164,2,2,1,1,1270.2,3666.2,-0.82,3.82,1,1
1153,11,1087068,164,4,4,1,3,569.1,6375.3,-12.01,0.82,2,2
1154,12,1087232,164,1,1,1,0,4964.9,4964.9,6.01,6.01,1,0
1155,13,1087396,164,1,1,0,1,914.5,914.5,1.09,1.09,1,0
1156,14,1087560,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1157,15,1087724,164,1,1,0,1,1748.7,1748.7,-4.64,-4.64,1,0
1158,16,1087888,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1159,0,1088052,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1160,1,1088216,164,1,1,0,1,641.3,641.3,-0.82,-0.82,0,1
1161,2,1088380,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1162,3,1088544,164,1,1,0,1,741.4,741.4,0.82,0.82,0,1
1163,4,1088708,164,15,15,12,3,1291.9,11439.2,-58.16,62.53,4,11
1164,5,1088872,164,2,2,2,0,2705.0,2705.9,3.28,4.10,2,0
1165,6,1089036,164,2,2,2,0,11461.7,11488.5,-4.10,3.28,1,1
1166,7,1089200,164,9,9,7,2,1002.4,10220.6,-10.92,3.00,2,7
1167,8,1089364,164,16,16,8,8,499.9,7245.6,-36.86,37.13,6,10
1168,9,1089528,164,3,3,0,3,548.5,1937.7,-10.38,0.82,1,2
1169,10,1089692,164,4,4,2,2,1131.4,4385.1,-0.82,0.82,1,3
1170,11,1089856,164,6,6,5,1,1631.5,6403.9,-11.47,1.37,6,0
1171,12,1090020,164,3,3,3,0,3544.9,5345.4,0.82,10.38,3,0
1172,13,1090184,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1173,14,1090348,164,2,2,1,1,1671.6,4938.7,-6.01,1.09,1,1
1174,15,1090512,164,1,1,1,0,5156.6,5156.6,-5.19,-5.19,1,0
1175,16,1090676,164,1,1,0,1,1121.0,1121.0,0.82,0.82,0,1
1176,0,1090840,164,1,1,1,0,5871.0,5871.0,104.07,104.07,1,0
1177,1,1091004,164,2,2,2,0,5850.2,7031.1,101.35,104.07,2,0
1178,2,1091168,164,1,1,1,0,3042.6,3042.6,-11.47,-11.47,1,0
1179,3,1091332,164,1,1,0,1,2085.3,2085.3,0.82,0.82,1,0
1180,4,1091496,164,15,15,12,3,1316.8,11879.3,-19.93,52.70,5,10
1181,5,1091660,164,3,3,2,1,405.7,2704.8,-19.11,2.18,3,0
1182,6,1091824,164,2,2,2,0,2489.3,11447.9,-1.91,4.64,2,0
1183,7,1091988,164,14,14,6,8,995.1,11442.1,-64.16,1.37,2,12
1184,8,1092152,164,15,15,8,7,1026.4,10816.0,-69.62,36.86,4,11
1185,9,1092316,164,6,6,2,4,783.1,5153.6,-37.95,-0.82,3,3
1186,10,1092480,164,4,4,2,2,1441.4,3664.9,-4.91,6.01,2,2
1187,11,1092644,164,9,9,7,2,424.2,6429.4,-10.92,7.65,6,3
1188,12,1092808,164,4,4,1,3,401.5,3545.6,-23.48,19.39,3,1
1189,13,1092972,164,1,1,0,1,2281.7,2281.7,-4.10,-4.10,1,0
1190,14,1093136,164,3,3,1,2,789.7,1985.2,-1.09,0.82,0,3
1191,15,1093300,164,2,2,1,1,1439.6,3017.3,-2.46,10.10,2,0
1192,16,1093464,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1193,0,1093628,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1194,1,1093792,164,3,3,3,0,3088.3,6758.4,-11.74,95.02,3,0
1195,2,1093956,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1196,3,1094120,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1197,4,1094284,164,15,15,13,2,1335.9,11439.0,-63.62,17.47,5,10
1198,5,1094448,164,1,1,1,0,2683.2,2683.2,4.91,4.91,1,0
1199,6,1094612,164,2,2,2,0,2491.4,11462.5,-1.09,4.91,2,0
1200,7,1094776,164,10,10,5,5,1507.0,10220.3,-34.13,1.37,2,8
1201,8,1094940,164,17,17,12,5,717.1,10813.5,-15.29,68.81,6,11
1202,9,1095104,164,2,2,1,1,1938.4,3689.2,-1.09,1.09,1,1
1203,10,1095268,164,4,4,3,1,809.0,12567.2,-45.32,1.91,4,0
1204,11,1095432,164,2,2,1,1,333.7,6472.9,-12.83,-12.01,1,1
1205,12,1095596,164,2,2,2,0,5420.6,5420.7,-15.84,-15.29,2,0
1206,13,1095760,164,1,1,0,1,1510.3,1510.3,1.09,1.09,1,0
1207,14,1095924,164,2,2,1,1,1722.3,1964.7,-1.09,-1.09,0,2
1208,15,1096088,164,1,1,0,1,404.9,404.9,-80.62,-80.62,1,0
1209,16,1096252,164,2,2,1,1,1557.8,3067.1,-6.01,0.82,0,2
1210,0,1096416,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1211,1,1096580,164,1,1,1,0,5317.0,5317.0,85.97,85.97,1,0
1212,2,1096744,164,1,1,0,1,471.7,471.7,5.73,5.73,0,1
1213,3,1096908,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1214,4,1097072,164,16,16,12,4,1316.0,11439.2,-67.71,42.05,7,9
1215,5,1097236,164,1,1,0,1,405.4,405.4,19.39,19.39,1,0
1216,6,1097400,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1217,7,1097564,164,16,16,10,6,698.5,11463.5,-17.47,69.62,6,10
1218,8,1097728,164,17,17,8,9,525.9,10821.5,-6.83,55.15,4,13
1219,9,1097892,164,6,6,2,4,1011.4,4218.2,-0.82,7.10,2,4
1220,10,1098056,164,3,3,1,2,810.3,3066.7,0.82,3.55,2,1
1221,11,1098220,164,6,6,4,2,810.1,9112.1,-31.13,3.55,6,0
1222,12,1098384,164,3,3,2,1,1658.9,5418.8,-7.10,4.64,3,0
1223,13,1098548,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1224,14,1098712,164,1,1,0,1,1653.0,1653.0,-0.82,-0.82,0,1
1225,15,1098876,164,2,2,0,2,1123.7,1433.2,-2.18,1.09,0,2
1226,16,1099040,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1227,0,1099204,164,1,1,0,1,404.1,404.1,19.11,19.11,0,1
1228,1,1099368,164,1,1,1,0,5078.4,5078.4,81.44,81.44,1,0
1229,2,1099532,164,1,1,1,0,3138.7,3138.7,-11.74,-11.74,1,0
1230,3,1099696,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1231,4,1099860,164,19,19,19,0,1457.9,11439.0,-58.43,67.44,10,9
1232,5,1100024,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1233,6,1100188,164,2,2,1,1,185.6,11447.1,-7.10,6.55,1,1
1234,7,1100352,164,13,13,6,7,1418.0,10220.8,-58.70,22.39,2,11
1235,8,1100516,164,10,10,6,4,1265.2,10821.0,-39.32,12.01,5,5
1236,9,1100680,164,6,6,4,2,1075.5,3209.7,-167.00,4.64,4,2
1237,10,1100844,164,3,3,1,2,789.9,3642.4,-0.82,8.74,1,2
1238,11,1101008,164,5,5,2,3,354.1,6522.6,-8.19,12.56,3,2
1239,12,1101172,164,1,1,1,0,5440.9,5440.9,-10.38,-10.38,1,0
1240,13,1101336,164,3,3,2,1,576.2,10673.4,-25.39,0.82,1,2
1241,14,1101500,164,4,4,0,4,1724.3,2160.3,-3.28,9.01,1,3
1242,15,1101664,164,2,2,0,2,1122.5,1916.3,-1.37,1.09,0,2
1243,16,1101828,164,2,2,1,1,1893.2,7364.1,-62.80,-3.82,2,0
1244,0,1101992,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1245,1,1102156,164,2,2,2,0,3163.4,4864.8,-12.01,72.39,2,0
1246,2,1102320,164,1,1,1,0,4842.3,4842.3,72.39,72.39,1,0
1247,3,1102484,164,2,2,0,2,1024.0,2084.8,0.82,2.46,2,0
1248,4,1102648,164,15,15,15,0,1458.0,11439.0,-41.77,55.97,6,9
1249,5,1102812,164,1,1,0,1,722.4,722.4,0.82,0.82,0,1
1250,6,1102976,164,1,1,1,0,11469.6,11469.6,-4.10,-4.10,1,0
1251,7,1103140,164,11,11,5,6,1435.6,10220.4,-17.47,69.90,3,8
1252,8,1103304,164,13,13,9,4,713.0,10772.0,-7.37,42.05,5,8
1253,9,1103468,164,2,2,2,0,2216.4,3641.3,-172.76,-2.73,1,1
1254,10,1103632,164,3,3,1,2,763.3,4623.3,-3.00,9.28,2,1
1255,11,1103796,164,4,4,3,1,762.3,4722.0,-1.64,9.01,3,1
1256,12,1103960,164,1,1,1,0,3858.0,3858.0,1.09,1.09,1,0
1257,13,1104124,164,3,3,1,2,574.6,4958.8,-0.82,9.83,1,2
1258,14,1104288,164,1,1,0,1,1178.2,1178.2,-1.37,-1.37,0,1
1259,15,1104452,164,3,3,1,2,1436.2,5006.3,-9.83,-2.18,2,1
1260,16,1104616,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1261,0,1104780,164,1,1,1,0,3569.3,3569.3,1.91,1.91,1,0
1262,1,1104944,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1263,2,1105108,164,2,2,1,1,1892.8,4669.3,0.82,63.34,2,0
1264,3,1105272,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1265,4,1105436,164,19,19,15,4,455.2,11439.2,-40.14,69.62,8,11
1266,5,1105600,164,1,1,1,0,2776.6,2776.6,-6.83,-6.83,1,0
1267,6,1105764,164,2,2,2,0,2513.4,11467.9,1.37,5.19,2,0
1268,7,1105928,164,16,16,8,8,549.0,11468.0,-43.69,60.34,4,12
1269,8,1106092,164,19,19,9,10,574.5,10821.0,-69.62,20.20,6,13
1270,9,1106256,164,2,2,1,1,1009.8,3642.5,-3.28,-1.64,0,2
1271,10,1106420,164,4,4,1,3,548.4,2746.9,-1.09,184.28,2,2
1272,11,1106584,164,4,4,3,1,739.1,6571.5,-10.65,8.19,3,1
1273,12,1106748,164,1,1,1,0,5420.6,5420.6,-2.18,-2.18,1,0
1274,13,1106912,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1275,14,1107076,164,3,3,2,1,1273.7,5275.1,-6.83,1.37,2,1
1276,15,1107240,164,2,2,1,1,1464.3,4650.7,-1.91,63.62,2,0
1277,16,1107404,164,1,1,1,0,2946.8,2946.8,-4.64,-4.64,0,1
1278,0,1107568,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1279,1,1107732,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1280,2,1107896,164,1,1,1,0,4499.3,4499.3,54.30,54.30,1,0
1281,3,1108060,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1282,4,1108224,164,18,18,16,2,1324.7,11684.4,-37.95,57.06,6,12
1283,5,1108388,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1284,6,1108552,164,3,3,2,1,889.4,2488.8,-3.28,2.18,3,0
1285,7,1108716,164,14,14,7,7,1057.1,10717.9,-17.75,33.31,3,11
1286,8,1108880,164,13,13,6,7,1270.8,10770.0,-18.02,67.17,0,13
1287,9,1109044,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1288,10,1109208,164,6,6,5,1,2055.3,4891.2,-5.46,178.52,3,3
1289,11,1109372,164,1,1,0,1,2041.8,2041.8,-1.09,-1.09,1,0
1290,12,1109536,164,3,3,1,2,1389.9,5442.9,-4.64,1.64,2,1
1291,13,1109700,164,1,1,0,1,739.6,739.6,0.82,0.82,0,1
1292,14,1109864,164,5,5,3,2,1540.7,5273.2,-8.19,1.64,2,3
1293,15,1110028,164,1,1,1,0,5300.4,5300.4,-2.46,-2.46,1,0
1294,16,1110192,164,1,1,0,1,1581.2,1581.2,1.37,1.37,0,1
1295,0,1110356,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1296,1,1110520,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1297,2,1110684,164,2,2,1,1,1436.8,4359.1,-0.82,45.25,2,0
1298,3,1110848,164,1,1,1,0,4358.6,4358.6,45.25,45.25,1,0
1299,4,1111012,164,15,15,13,2,1314.0,11439.3,-66.35,45.32,6,9
1300,5,1111176,164,1,1,0,1,2251.2,2251.2,0.82,0.82,0,1
1301,6,1111340,164,3,3,3,0,2513.2,11463.2,4.37,9.56,3,0
1302,7,1111504,164,11,11,6,5,978.6,10221.0,-5.19,6.83,4,7
1303,8,1111668,164,18,18,11,7,522.9,11922.7,-35.77,56.25,4,14
1304,9,1111832,164,5,5,3,2,952.2,5153.2,-39.04,7.65,3,2
1305,10,1111996,164,1,1,0,1,2251.0,2251.0,-4.64,-4.64,0,1
1306,11,1112160,164,7,7,1,6,452.4,6258.5,-11.74,28.12,3,4
1307,12,1112324,164,4,4,3,1,623.5,4576.3,-4.91,0.82,3,1
1308,13,1112488,164,1,1,1,0,4940.1,4940.1,-7.10,-7.10,1,0
1309,14,1112652,164,3,3,1,2,1654.5,5274.3,-0.82,3.28,1,2
1310,15,1112816,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1311,16,1112980,164,1,1,0,1,452.8,452.8,96.60,96.60,1,0
1312,0,1113144,164,1,1,1,0,7862.7,7862.7,27.58,27.58,1,0
1313,1,1113308,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1314,2,1113472,164,1,1,1,0,4235.3,4235.3,36.20,36.20,1,0
1315,3,1113636,164,1,1,1,0,4212.7,4212.7,36.20,36.20,1,0
1316,4,1113800,164,20,20,18,2,1316.6,11439.4,-68.53,56.52,9,11
1317,5,1113964,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1318,6,1114128,164,2,2,1,1,2153.8,11490.6,-3.82,1.09,1,1
1319,7,1114292,164,11,11,7,4,693.3,10221.2,-57.34,60.07,3,8
1320,8,1114456,164,15,15,8,7,528.3,11946.1,-62.25,68.26,9,6
1321,9,1114620,164,4,4,2,2,1021.5,3281.2,-1.37,7.65,1,3
1322,10,1114784,164,1,1,1,0,4353.9,4353.9,172.76,172.76,1,0
1323,11,1114948,164,5,5,2,3,715.3,6285.9,-13.11,1.37,1,4
1324,12,1115112,164,2,2,0,2,836.8,1673.2,-4.10,1.37,2,0
1325,13,1115276,164,2,2,0,2,641.0,2014.3,1.37,3.00,1,1
1326,14,1115440,164,4,4,1,3,1653.0,5223.5,-5.19,0.82,2,2
1327,15,1115604,164,1,1,1,0,5345.0,5345.0,-4.37,-4.37,1,0
1328,16,1115768,164,1,1,0,1,1417.5,1417.5,5.46,5.46,1,0
1329,0,1115932,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1330,1,1116096,164,1,1,1,0,3353.2,3353.2,-11.74,-11.74,1,0
1331,2,1116260,164,2,2,2,0,3352.3,4139.3,-12.01,31.67,2,0
1332,3,1116424,164,2,2,1,1,1392.9,4140.4,7.92,31.67,2,0
1333,4,1116588,164,16,16,15,1,1338.8,11439.5,-50.78,49.15,8,8
1334,5,1116752,164,3,3,1,2,1388.8,2875.2,-4.64,0.82,2,1
1335,6,1116916,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1336,7,1117080,164,17,17,7,10,694.1,10221.2,-67.99,37.13,3,14
1337,8,1117244,164,15,15,7,8,499.5,10815.4,-60.34,37.41,5,10
1338,9,1117408,164,1,1,1,0,3258.9,3258.9,-4.37,-4.37,1,0
1339,10,1117572,164,3,3,0,3,1316.7,2274.1,1.37,90.49,1,2
1340,11,1117736,164,6,6,2,4,617.5,4771.2,-10.38,90.49,4,2
1341,12,1117900,164,4,4,1,3,792.8,2418.1,-10.38,-0.82,3,1
1342,13,1118064,164,3,3,2,1,640.6,4940.0,-1.37,12.01,2,1
1343,14,1118228,164,4,4,2,2,1697.8,5968.3,-1.91,19.66,1,3
1344,15,1118392,164,2,2,1,1,1226.0,4700.9,-2.46,0.82,2,0
1345,16,1118556,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1346,0,1118720,164,2,2,1,1,1292.5,3522.0,-1.91,0.82,1,1
1347,1,1118884,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1348,2,1119048,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1349,3,1119212,164,2,2,2,0,4067.1,5247.9,22.17,22.62,2,0
1350,4,1119376,164,19,19,16,3,1315.4,11439.2,-65.26,53.24,8,11
1351,5,1119540,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1352,6,1119704,164,1,1,1,0,11490.1,11490.1,-5.46,-5.46,0,1
1353,7,1119868,164,16,16,9,7,643.1,11465.6,-48.05,66.08,7,9
1354,8,1120032,164,11,11,5,6,572.2,10768.0,-67.71,7.10,3,8
1355,9,1120196,164,1,1,0,1,2253.6,2253.6,-0.82,-0.82,0,1
1356,10,1120360,164,2,2,2,0,3090.9,4243.5,-8.19,-5.46,2,0
1357,11,1120524,164,6,6,4,2,1910.7,4794.8,-2.46,90.49,4,2
1358,12,1120688,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1359,13,1120852,164,2,2,1,1,744.5,4894.6,0.82,10.38,1,1
1360,14,1121016,164,4,4,1,3,1744.3,5293.9,-4.64,4.64,1,3
1361,15,1121180,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1362,16,1121344,164,2,2,1,1,1368.7,1913.3,9.56,15.56,2,0
1363,0,1121508,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1364,1,1121672,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1365,2,1121836,164,1,1,1,0,3403.3,3403.3,-11.74,-11.74,1,0
1366,3,1122000,164,2,2,1,1,1366.5,4017.8,7.37,13.57,2,0
1367,4,1122164,164,20,20,20,0,1458.2,11439.4,-66.08,59.80,9,11
1368,5,1122328,164,1,1,1,0,5851.9,5851.9,3.55,3.55,1,0
1369,6,1122492,164,1,1,1,0,11492.8,11492.8,-5.19,-5.19,0,1
1370,7,1122656,164,9,9,6,3,1507.0,10718.1,-1.09,52.97,4,5
1371,8,1122820,164,15,15,5,10,575.5,10767.2,-29.76,22.39,4,11
1372,9,1122984,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1373,10,1123148,164,4,4,2,2,1120.7,3235.6,-1.09,85.97,2,2
1374,11,1123312,164,7,7,5,2,979.2,4694.6,-2.46,85.97,4,3
1375,12,1123476,164,2,2,1,1,1414.2,4193.2,-0.82,0.82,1,1
1376,13,1123640,164,1,1,0,1,643.0,643.0,-1.37,-1.37,0,1
1377,14,1123804,164,1,1,1,0,5293.0,5293.0,5.73,5.73,1,0
1378,15,1123968,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1379,16,1124132,164,1,1,0,1,1648.6,1648.6,0.82,0.82,0,1
1380,0,1124296,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1381,1,1124460,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1382,2,1124624,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1383,3,1124788,164,1,1,1,0,3977.6,3977.6,9.05,9.05,1,0
1384,4,1124952,164,14,14,13,1,1387.7,11439.3,-33.04,58.16,9,5
1385,5,1125116,164,1,1,0,1,722.2,722.2,0.82,0.82,0,1
1386,6,1125280,164,3,3,3,0,2970.5,12526.0,-6.28,51.60,3,0
1387,7,1125444,164,16,16,9,7,1432.8,11468.2,-43.41,33.04,5,11
1388,8,1125608,164,12,12,7,5,603.2,10814.5,-4.37,26.21,5,7
1389,9,1125772,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1390,10,1125936,164,4,4,2,2,960.3,7841.2,0.82,85.97,2,2
1391,11,1126100,164,5,5,4,1,1917.9,3448.7,1.09,85.97,4,1
1392,12,1126264,164,5,5,3,2,502.4,5589.8,-2.18,38.77,4,1
1393,13,1126428,164,4,4,0,4,640.2,1362.5,-1.37,1.37,0,4
1394,14,1126592,164,6,6,3,3,1294.0,5292.0,-5.73,10.92,2,4
1395,15,1126756,164,1,1,1,0,3018.2,3018.2,-7.65,-7.65,1,0
1396,16,1126920,164,1,1,0,1,1337.2,1337.2,-4.10,-4.10,1,0
1397,0,1127084,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1398,1,1127248,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1399,2,1127412,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1400,3,1127576,164,2,2,2,0,3978.6,9814.1,-9.05,11.47,2,0
1401,4,1127740,164,16,16,16,0,1457.6,11439.3,-54.61,49.15,7,9
1402,5,1127904,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1403,6,1128068,164,2,2,2,0,2441.6,2466.7,7.37,7.65,2,0
1404,7,1128232,164,11,11,7,4,1487.7,10718.4,-68.53,23.48,4,7
1405,8,1128396,164,12,12,9,3,1297.9,10820.8,-31.95,31.40,4,8
1406,9,1128560,164,2,2,1,1,503.0,5317.4,-2.46,0.82,1,1
1407,10,1128724,164,4,4,3,1,2204.3,8366.3,-3.17,85.97,4,0
1408,11,1128888,164,7,7,6,1,2306.8,8413.5,-99.54,3.82,5,2
1409,12,1129052,164,4,4,2,2,831.2,5567.6,-6.01,7.92,3,1
1410,13,1129216,164,4,4,2,2,814.2,5078.6,-11.52,9.83,3,1
1411,14,1129380,164,2,2,1,1,2129.7,5230.1,-1.09,10.92,1,1
1412,15,1129544,164,1,1,0,1,1989.9,1989.9,-5.46,-5.46,0,1
1413,16,1129708,164,2,2,1,1,1436.8,2753.7,-4.10,-1.09,1,1
1414,0,1129872,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1415,1,1130036,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1416,2,1130200,164,2,2,1,1,1414.1,3520.6,-12.01,0.82,2,0
1417,3,1130364,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1418,4,1130528,164,15,15,14,1,1386.8,11439.5,-45.87,49.97,8,7
1419,5,1130692,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1420,6,1130856,164,3,3,3,0,2418.5,2489.5,3.55,4.64,3,0
1421,7,1131020,164,12,12,7,5,1508.1,10817.6,-52.97,2.46,11,1
1422,8,1131184,164,15,15,9,6,525.0,10819.2,-48.60,65.26,12,3
1423,9,1131348,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1424,10,1131512,164,1,1,0,1,913.3,913.3,-1.64,-1.64,0,1
1425,11,1131676,164,4,4,2,2,428.5,6498.4,-11.74,32.49,3,1
1426,12,1131840,164,3,3,2,1,2038.5,2971.0,-0.82,1.64,3,0
1427,13,1132004,164,1,1,1,0,4121.6,4121.6,1.09,1.09,1,0
1428,14,1132168,164,4,4,3,1,791.7,5297.0,-3.00,8.19,4,0
1429,15,1132332,164,1,1,0,1,2151.9,2151.9,0.82,0.82,0,1
1430,16,1132496,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1431,0,1132660,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1432,1,1132824,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1433,2,1132988,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1434,3,1133152,164,1,1,1,0,1890.5,1890.5,-12.83,-12.83,1,0
1435,4,1133316,164,14,14,13,1,1315.7,11439.3,-22.62,5.73,8,6
1436,5,1133480,164,1,1,1,0,5246.0,5246.0,-22.17,-22.17,1,0
1437,6,1133644,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1438,7,1133808,164,13,13,8,5,1506.1,10718.2,-39.86,54.33,3,10
1439,8,1133972,164,14,14,8,6,499.8,10772.3,-67.44,22.12,9,5
1440,9,1134136,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1441,10,1134300,164,2,2,2,0,3257.4,4720.8,1.37,6.28,2,0
1442,11,1134464,164,1,1,1,0,4793.7,4793.7,81.44,81.44,1,0
1443,12,1134628,164,4,4,3,1,2038.7,5536.8,-1.64,9.28,4,0
1444,13,1134792,164,3,3,2,1,794.7,5533.8,0.82,9.28,3,0
1445,14,1134956,164,1,1,1,0,5156.6,5156.6,8.19,8.19,1,0
1446,15,1135120,164,3,3,0,3,1047.2,2016.9,-4.37,-0.82,1,2
1447,16,1135284,164,1,1,1,0,2778.3,2778.3,-20.20,-20.20,0,1
1448,0,1135448,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1449,1,1135612,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1450,2,1135776,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1451,3,1135940,164,1,1,1,0,3008.9,3008.9,126.69,126.69,1,0
1452,4,1136104,164,18,18,16,2,1315.5,11438.9,-39.59,55.97,10,8
1453,5,1136268,164,1,1,1,0,4139.3,4139.3,-31.67,-31.67,1,0
1454,6,1136432,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1455,7,1136596,164,16,16,12,4,1507.3,11461.8,-43.14,60.34,6,10
1456,8,1136760,164,13,13,8,5,1817.1,10820.6,-65.26,44.51,5,8
1457,9,1136924,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1458,10,1137088,164,2,2,1,1,2088.7,4725.0,-3.82,0.82,1,1
1459,11,1137252,164,5,5,5,0,2321.7,6565.9,-11.19,6.55,5,0
1460,12,1137416,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1461,13,1137580,164,1,1,1,0,2368.8,2368.8,3.55,3.55,1,0
1462,14,1137744,164,1,1,1,0,5131.0,5131.0,6.55,6.55,1,0
1463,15,1137908,164,2,2,0,2,1050.8,1988.7,-4.64,-2.46,1,1
1464,16,1138072,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1465,0,1138236,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
1466,1,1138400,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
